Wall time,Step,cnn_8_x4_nb,cnn_8_x4_b,cnn_32_x4
1537079388.08872,0,0.5917071104,0.6774917245,0.606246829
1537079612.63495,1,0.5915330648,0.6771057844,0.5981128216
1537079716.54599,2,0.5942226052,0.6680874228,0.6003912091
1537080003.43581,3,0.5949736834,0.6634972692,0.6015014052
1537080039.03134,4,0.5947680473,0.6623847485,0.5920187235
1537080093.65306,5,0.5947942734,0.6606318355,0.592961967
1537080237.62019,6,0.5947334766,0.6610839963,0.5935181975
1537080290.03365,7,0.5945313573,0.6603948474,0.5908378959
1537080553.15244,8,0.5919462442,0.6619690061,0.58774966
1537080606.88476,9,0.5915264487,0.6703764796,0.5906513333
1537080964.4468,10,0.5923221111,0.6716467738,0.590262413
1537081105.10035,11,0.5918552279,0.6724508405,0.5884568095
1537081158.1882,12,0.5919904709,0.6728804111,0.588414669
1537081175.9313,13,0.5918657184,0.6728253365,0.5890417695
1537081297.88136,14,0.5921218991,0.6732475758,0.5888321996
1537081630.55617,15,0.5865703225,0.6737804413,0.5881741047
1537081861.59293,16,0.5817578435,0.6738066077,0.5864647627
1537082053.8432,17,0.5841730237,0.6735670567,0.5852149725
1537082142.81212,18,0.5844442248,0.6732655168,0.5837293863
1537082195.69939,19,0.5855657458,0.6546227336,0.5835633278
1537082354.99125,20,0.5872244835,0.6596217155,0.5834151506
1537082372.57704,21,0.5876066089,0.6568385959,0.5833081007
1537082547.62743,22,0.5880391002,0.6576672196,0.5822872519
1537082633.70851,23,0.5876131654,0.6570435166,0.5827579498
1537082668.47598,24,0.5868141651,0.654897511,0.5830900073
1537082685.99905,25,0.5868439078,0.6546553373,0.5831762552
1537082755.13047,26,0.5870968699,0.6553092599,0.5829722285
1537082893.82248,27,0.5857231617,0.6545161605,0.5832750201
1537083035.61646,28,0.581704855,0.6553007364,0.5825404525
1537083053.28073,29,0.581587553,0.6540586948,0.5819934607
1537083143.52311,30,0.5808234811,0.653213501,0.5827327967
1537083339.65286,31,0.5772663355,0.6526114345,0.5821635723
1537083444.95937,32,0.5761935711,0.6488415599,0.5821308494
1537083636.66407,33,0.5520685911,0.6471010447,0.5829662085
1537083897.50071,34,0.5421487689,0.6469619274,0.5832400322
1537084002.81248,35,0.5392337441,0.6466954947,0.5832959414
1537084090.99134,36,0.5356255174,0.6436097622,0.5828063488
1537084215.66891,37,0.5309487581,0.6340649724,0.5827075839
1537084286.37302,38,0.5299360752,0.6296381354,0.5816239715
1537084321.48573,39,0.528506279,0.6294645071,0.5817251801
1537084649.25888,40,0.5154325962,0.6247708201,0.581641078
1537084735.44045,41,0.5135318041,0.6256294847,0.5812473893
1537084752.41254,42,0.5133364201,0.6287804842,0.5802494884
1537084838.74421,43,0.5111094117,0.627618432,0.5800661445
1537084925.57257,44,0.5096073747,0.6263768673,0.5797525644
1537084960.43426,45,0.5088752508,0.6277053952,0.5797439218
1537085098.56357,46,0.5066000819,0.6271136403,0.5792020559
1537085115.84996,47,0.5066708326,0.6257240176,0.5788009763
1537085306.47107,48,0.5045740604,0.6252150536,0.5790461302
1537085462.29162,49,0.5032321215,0.6250815392,0.5791385174
1537085601.1247,50,0.5010374784,0.6265395284,0.5786892176
1537085985.50577,51,0.4691954851,0.6256318092,0.5779101253
1537086055.73519,52,0.4722546041,0.6252607107,0.5776751041
1537086229.5811,53,0.4771318436,0.6107392907,0.5773335695
1537086991.70458,54,0.47149387,0.6151378155,0.5767148733
1537087009.3713,55,0.4714457095,0.6142321825,0.5769181848
1537087149.08982,56,0.4709317088,0.6138767004,0.5766661763
1537087305.98902,57,0.4691133797,0.617708385,0.5766011477
1537087342.13651,58,0.4689430296,0.6196010709,0.5765131712
1537087360.24053,59,0.4690596461,0.6201485395,0.5762345791
1537087414.73174,60,0.4690292776,0.6187550426,0.5759425163
1537087522.92426,61,0.469068706,0.6208330989,0.5763864517
1537087681.92791,62,0.4697401524,0.6210737228,0.5761758089
1537087733.99512,63,0.4693790972,0.6181933284,0.5759945512
1537087858.44138,64,0.4516027868,0.6176280379,0.5757939219
1537088033.55653,65,0.4600729346,0.6172297597,0.5759822726
1537088328.87966,66,0.463293016,0.6170458794,0.5754511952
1537088363.93959,67,0.4629335999,0.6167528629,0.5753849149
1537088697.03729,68,0.462618053,0.6170538068,0.5751006007
1537088731.64467,69,0.4635896385,0.6173372269,0.5746397376
1537088783.66106,70,0.4648434222,0.6182292104,0.5744383931
1537088922.95295,71,0.4647445977,0.605817914,0.5746753216
1537089027.69301,72,0.4642636776,0.6180009842,0.5739693046
1537089062.55327,73,0.4638043344,0.6185222268,0.5738069415
1537089115.41429,74,0.4646860957,0.6140501499,0.5737762451
1537089221.97714,75,0.4638170004,0.6138800979,0.5732949376
1537089311.20485,76,0.4627975523,0.6164102554,0.5726872683
1537089491.3492,77,0.4615330994,0.6179556847,0.5723491311
1537089599.77131,78,0.461147368,0.6178363562,0.5719191432
1537089708.21654,79,0.4609067738,0.6188073158,0.570818603
1537089780.28887,80,0.4606901705,0.619048357,0.570171535
1537089889.0088,81,0.4605367184,0.6184133887,0.5697624087
1537090037.84886,82,0.4374358654,0.6167901158,0.56955266
1537090092.33791,83,0.4249778092,0.6166327,0.570012033
1537090128.98537,84,0.4307192862,0.616366446,0.5697389245
1537090147.3966,85,0.4361826181,0.6160282493,0.5698544383
1537090239.68491,86,0.450058639,0.5979581475,0.5694475174
1537090257.77951,87,0.4509123564,0.6014105678,0.5691876411
1537090423.18433,88,0.4538496733,0.6017565727,0.5689871907
1537090571.4763,89,0.4557924271,0.6027835608,0.5685679317
1537090665.45181,90,0.4560076594,0.6021607518,0.5684128404
1537090757.75264,91,0.4561009407,0.6031148434,0.5680695772
1537090794.59985,92,0.4560202062,0.6042160392,0.5677428246
1537091015.85935,93,0.4525566101,0.6062988043,0.5673875809
1537091144.66862,94,0.4532419741,0.6061834693,0.5671322346
1537091162.94497,95,0.4533913732,0.6049471498,0.5669230223
1537091199.69782,96,0.4521930516,0.6043617129,0.5664154887
1537091254.33248,97,0.4517988861,0.6044656634,0.5665450692
1537091290.75663,98,0.4521256685,0.6056197286,0.5663958192
1537091511.54526,99,0.4522251487,0.6046767831,0.5665214062
1537091566.16482,100,0.4525935352,0.6045736074,0.5662962198
1537091640.07189,101,0.4527888894,0.6047695875,0.5663149953
1537091695.47726,102,0.4529041946,0.6042228341,0.5663453937
1537091750.42898,103,0.4524423182,0.6036080718,0.5661386847
1537091823.38051,104,0.4515461624,0.596409142,0.5659655333
1537091841.91071,105,0.4515194297,0.5941821933,0.5663468242
1537091914.13652,106,0.4522132277,0.593205452,0.566037178
1537092004.95309,107,0.4519431591,0.5921819806,0.56569314
1537092452.17697,108,0.4469533563,0.5905454755,0.5654273629
1537092599.9925,109,0.4439673126,0.5892415047,0.5654338598
1537092674.26651,110,0.4446259439,0.5882747173,0.5652444959
1537092747.99674,111,0.4415058494,0.5888352394,0.5650109053
1537092766.5235,112,0.4410219491,0.5877864361,0.5648297668
1537092894.67021,113,0.4443357289,0.5879144073,0.5646026731
1537093061.25283,114,0.4447382689,0.587919414,0.5644489527
1537093135.17189,115,0.4444404542,0.587639153,0.5644299388
1537093209.5048,116,0.443864882,0.5868807435,0.5583480597
1537093282.69242,117,0.4433281422,0.5865983963,0.5648112297
1537093301.39514,118,0.443095535,0.5865436196,0.5507679582
1537093374.9434,119,0.4418657124,0.5870027542,0.5593534112
1537093540.59159,120,0.4428880215,0.5599067211,0.5496225357
1537093613.88326,121,0.4431765974,0.5617367029,0.5420235991
1537093632.37531,122,0.4433456063,0.5630884171,0.5421462655
1537093650.84088,123,0.4438918829,0.562286973,0.5428968668
1537093687.63268,124,0.4436621666,0.5611245632,0.537765801
1537093706.32246,125,0.4440610111,0.5603293777,0.5381444097
1537093815.5283,126,0.4445519149,0.5624734163,0.5407966971
1537093887.72866,127,0.4443247616,0.5600078702,0.5430034399
1537093905.65504,128,0.4447170794,0.5596463084,0.5448989868
1537093941.50337,129,0.444088608,0.5599662662,0.5441347957
1537094032.89658,130,0.444804579,0.5601698756,0.546043098
1537094051.66797,131,0.4447582364,0.5575880408,0.5466489196
1537094069.91153,132,0.4447211921,0.5243849158,0.5478016734
1537094144.03118,133,0.4445290565,0.5254974365,0.547321856
1537094217.7489,134,0.4447188973,0.5235491991,0.5471511483
1537094308.49275,135,0.4436513782,0.5235942602,0.5462788939
1537094326.80025,136,0.443366617,0.5257359743,0.5452381968
1537094345.1953,137,0.4435227513,0.532191515,0.5450088382
1537094878.48335,138,0.4339563847,0.533711195,0.5457245708
1537094951.8075,139,0.4365938008,0.533169508,0.5457197428
1537094988.16057,140,0.4376097023,0.5305888057,0.5451635718
1537095078.61576,141,0.4363539815,0.5303860903,0.5435529351
1537095512.2835,142,0.4365684092,0.5309801698,0.5434593558
1537095548.79087,143,0.4361624122,0.5304577947,0.5443094969
1537095639.62889,144,0.4365905523,0.53141433,0.543633759
1537095676.52979,145,0.4368892312,0.5310309529,0.5438774228
1537095749.56482,146,0.436227411,0.5081876516,0.5441483855
1537095786.69296,147,0.4360274076,0.489554435,0.5434167385
1537095932.79926,148,0.4374769926,0.4974209964,0.5433766842
1537096041.33541,149,0.4364693463,0.5095149279,0.5441206694
1537096112.72877,150,0.4366288185,0.5085170269,0.5441551208
1537096237.67447,151,0.4355666637,0.5133811831,0.5450313091
1537096273.6076,152,0.4354682267,0.5109305382,0.5443046093
1537096383.29221,153,0.435867697,0.5138514042,0.5441569686
1537096420.22956,154,0.4356022775,0.5153298974,0.543748796
1537096475.43681,155,0.4354789853,0.5147895813,0.5443687439
1537096530.73083,156,0.4358540177,0.512803793,0.5435496569
1537096789.71531,157,0.4138318002,0.5144316554,0.5439239144
1537096808.34959,158,0.4098794162,0.5134637356,0.5441643
1537096862.71962,159,0.4168794155,0.5125831962,0.5435207486
1537096990.62704,160,0.4136562645,0.5134422183,0.5435488224
1537097045.80508,161,0.4169068933,0.5136672854,0.5434180498
1537097213.06456,162,0.4211601615,0.5124484897,0.5434421897
1537097286.97374,163,0.4214074612,0.5126366019,0.5433351398
1537097342.56917,164,0.423938781,0.5123337507,0.5431967974
1537097361.51533,165,0.4251658618,0.5119732022,0.5433524847
1537097526.55747,166,0.4254731238,0.5116792321,0.542625308
1537097544.90453,167,0.4265656471,0.5207598209,0.5426769853
1537097618.41125,168,0.4275212288,0.5183951259,0.5418016315
1537097654.58454,169,0.4291296005,0.5070468783,0.5424147248
1537097672.82876,170,0.4288890362,0.5013011098,0.5423700213
1537097745.08875,171,0.4274601042,0.4990836978,0.5417861342
1537097763.05993,172,0.4277452826,0.4998811483,0.5415510535
1537097816.91079,173,0.4291216731,0.4980526268,0.5413172841
1537097834.9691,174,0.4284401536,0.4970904291,0.5417088866
1537097980.48866,175,0.4297341406,0.496150285,0.5424931049
1537098053.82497,176,0.4290134609,0.4976148605,0.5422122478
1537098090.85031,177,0.4312261343,0.4984030128,0.5420399904
1537098127.55702,178,0.4314085245,0.4966016412,0.5418257117
1537098146.05957,179,0.4317946434,0.4963944554,0.5418886542
1537098315.55086,180,0.431373179,0.4973857999,0.5417585373
1537098370.66009,181,0.4318129122,0.4980285466,0.5412579775
1537098515.39152,182,0.4313225746,0.496979475,0.5414733887
