Wall time,Step,cm00,cm01,cm10,cm11,accuracy
1537026095.65603,0,0.0438166633,0.6739694476,0.0039396561,0.2782742381,32.2090911865
1537027135.98155,1,0.4109733701,0.3068127334,0.0626501366,0.2195637524,63.0537147522
1537028183.14927,2,0.5538579822,0.1639281213,0.1197271049,0.1624867916,71.634475708
1537029232.85545,3,0.420966655,0.2968194485,0.0553473607,0.2268665284,64.7833175659
1537030268.19968,4,0.1789180338,0.5388680696,0.0124915922,0.2697223127,44.8640327454
1537031306.18217,5,0.5724031925,0.145382911,0.124435477,0.1577784121,73.018157959
1537032354.99579,6,0.0673585087,0.6504275799,0.0025944076,0.2796194851,34.6977996826
1537033402.00887,7,0.3904103041,0.3273757994,0.0280580372,0.2541558444,64.4566192627
1537034451.58431,8,0.2195637524,0.4982223511,0.0156625342,0.2665513456,48.6115112305
1537035498.40316,9,0.409339875,0.3084462285,0.0316133387,0.2506005466,65.9940414429
1537036541.68399,10,0.4220236242,0.2957624793,0.033919476,0.2482944131,67.0318069458
1537037585.11265,11,0.4664168358,0.2513692677,0.0423753262,0.2398385704,70.625541687
1537038643.83539,12,0.4774670899,0.2403190136,0.0448736437,0.2373402566,71.4807357788
1537039703.0541,13,0.3586047888,0.3591813147,0.0244066492,0.2578072548,61.641204834
1537040756.75864,14,0.4339386821,0.2838474214,0.0373786874,0.2448352128,67.8773880005
1537041800.82638,15,0.4558470249,0.2619390786,0.0596713759,0.2225425243,67.8389511108
1537042848.12347,16,0.4071298242,0.3106562793,0.027097147,0.2551167607,66.2246551514
1537043898.71195,17,0.4326895475,0.2850965559,0.0369943306,0.2452195585,67.7909088135
1537044944.56423,18,0.4051119387,0.3126741648,0.0388200246,0.2433938682,64.8505783081
1537045979.97216,19,0.513404429,0.2043816596,0.0671663284,0.2150475681,72.845199585
1537047008.8454,20,0.3799365759,0.3378495276,0.0262323432,0.2559815645,63.5918121338
1537048043.71539,21,0.415009141,0.3027769625,0.0297876429,0.2524262369,66.7435379028
1537049085.23197,22,0.4282694459,0.2895166576,0.0475641377,0.2346497476,66.2919158936
1537050126.81901,23,0.4371096492,0.2806764543,0.0401652716,0.2420486212,67.9158248901
1537051170.38202,24,0.4721821845,0.245603919,0.0478524081,0.2343614846,70.6543655396
1537052210.15294,25,0.4676660001,0.2501201034,0.0511194393,0.2310944498,69.8760452271
1537053248.31637,26,0.676852107,0.0409339853,0.1045450196,0.1776688695,85.4521026611
1537054283.98768,27,0.322090894,0.3956952095,0.0268088784,0.2554050088,57.7495918274
1537055318.39981,28,0.4417219162,0.2760641873,0.0471797846,0.2350341082,67.6756057739
1537056358.81097,29,0.4690112472,0.2487748563,0.0561160743,0.2260978222,69.5109024048
1537057399.26226,30,0.4927452803,0.2250408381,0.0676467791,0.2145671248,70.7312393188
1537058437.10824,31,0.4584414363,0.2593446672,0.0379552208,0.244258672,70.2700119019
1537059471.80306,32,0.4004996717,0.3172864318,0.0340155661,0.2481983304,64.8697967529
1537060504.16818,33,0.5091764927,0.2086095959,0.0496781021,0.2325357944,74.1712341309
1537061551.82153,34,0.5275295377,0.1902565509,0.0551551841,0.2270587087,75.4588241577
1537062595.64985,35,0.2867300808,0.4310560226,0.0185452104,0.2636686862,55.0398788452
1537063643.36509,36,0.5200346112,0.1977515072,0.0513116159,0.2309022844,75.0936889648
1537064693.89699,37,0.447198987,0.2705871165,0.0453540869,0.2368598133,68.4058837891
1537065735.2597,38,0.3755164742,0.3422696292,0.0362256169,0.2459882796,62.1504745483
1537066780.31798,39,0.4005957544,0.3171903491,0.0270010568,0.2552128434,65.5808563232
1537067819.13422,40,0.5257038474,0.1920822561,0.0567887016,0.2254251987,75.1129074097
1537068865.20672,41,0.5394446254,0.1783415079,0.0600557327,0.2221581638,76.1602783203
1537069903.01506,42,0.5801864266,0.1375996917,0.0638032109,0.2184106857,79.8597106934
1537070948.38631,43,0.6262131333,0.0915729776,0.0971461535,0.1850677431,81.1280899048
1537071980.2191,44,0.6460074782,0.0717786103,0.0742769316,0.2079369724,85.3944473267
1537073024.06989,45,0.6339963675,0.0837897584,0.0656289011,0.2165849954,85.0581359863
1537074068.70806,46,0.6784856319,0.0393004715,0.0940712988,0.1881425977,86.6628265381
1537075113.71022,47,0.5760545731,0.1417315304,0.063899301,0.218314603,79.436920166
1537076142.29443,48,0.5218603015,0.1959258169,0.0533294901,0.2288843989,75.07447052
1537077179.13817,49,0.5474200249,0.1703660935,0.0507350825,0.2314788103,77.8898849487
