Wall time,Step,cm00,cm01,cm10,cm11,accuracy
1536871922.46133,0,0.7076006532,0.0014413375,0.2896127701,0.0013452484,70.8945922852
1536873985.5074,1,0.4986067116,0.2104352862,0.0946478322,0.1963101774,69.4916915894
1536876100.97175,2,0.6202555895,0.0887863934,0.1327952296,0.1581627727,77.841835022
1536878249.92786,3,0.701739192,0.0073027769,0.1979436874,0.0930143148,79.4753494263
1536911203.89945,0,0.7068319321,0.014701643,0.1493225694,0.129143849,83.5975799561
1536913351.65476,1,0.7142308354,0.0073027769,0.175074473,0.1033919454,81.7622756958
1536915467.53015,2,0.7031805515,0.0183530319,0.1381762326,0.1402901858,84.347076416
1536917550.52725,3,0.7149034142,0.0066301529,0.1624867916,0.1159796268,83.0883026123
1536919631.58449,4,0.6979917288,0.0235418472,0.1246276572,0.1538387686,85.183052063
1536921678.82186,5,0.7066397667,0.0148938214,0.1350052804,0.143461138,85.0100860596
1536923728.93752,6,0.7063515186,0.0151820891,0.1274142414,0.151052177,85.7403640747
1536925737.93852,7,0.6920341849,0.0294993762,0.1359661818,0.1425002366,83.4534454346
1536927769.8923,8,0.7090420127,0.0124915922,0.143749401,0.1347170174,84.3759002686
1536929800.55269,9,0.7103872299,0.0111463442,0.1299125552,0.1485538632,85.8941116333
1536931876.72444,10,0.7078889012,0.0136446627,0.1282790452,0.1501873732,85.8076324463
1536933997.22321,11,0.7064476013,0.0150859999,0.1285673082,0.1498991102,85.6346664429
1536936063.88817,12,0.7094263434,0.0121072354,0.1419237107,0.1365427077,84.5969085693
1536938206.16796,13,0.6911693811,0.0303641781,0.111463435,0.1670029759,85.817237854
1536940321.30042,14,0.7027000785,0.0188334771,0.1105025485,0.1679638773,87.0663986206
1536942549.93625,15,0.7109637856,0.010569809,0.1357740015,0.1426924169,85.3656158447
1536944822.60186,16,0.6924185753,0.0291150194,0.1059863567,0.1724800617,86.4898605347
1536947179.16299,17,0.7101950645,0.0113385217,0.1270298809,0.1514365375,86.1631622314
1536949614.26009,18,0.7031805515,0.0183530319,0.1131930426,0.1652733684,86.8453903198
1536952051.3041,19,0.7061592937,0.0153742675,0.1289516687,0.1495147496,85.5674057007
1536954466.98297,20,0.6994330883,0.0221005101,0.1006053612,0.1778610498,87.7294158936
1536956872.80133,21,0.7086576223,0.012875949,0.1272220612,0.1512443572,85.990196228
1536959274.96212,22,0.7051984072,0.0163351595,0.1133852229,0.1650811881,87.027961731
1536961697.0079,23,0.7078889012,0.0136446627,0.1196310148,0.1588353962,86.6724319458
1536965165.81884,0,0.7110598683,0.0076871337,0.1170366108,0.1642163992,87.5276260376
1536967435.63331,1,0.7116364241,0.0071105985,0.124435477,0.1568175256,86.8453903198
1536969677.58769,2,0.7113481164,0.0073988661,0.1268377006,0.1544152945,86.5763397217
1536971895.61559,3,0.7014509439,0.0172960516,0.1105025485,0.1707504541,87.2201385498
1536974107.62896,4,0.6803113222,0.0384356678,0.0972422436,0.184010759,86.4322128296
1536976293.4788,5,0.701739192,0.0170077831,0.1091573015,0.1720957011,87.3834915161
1536978423.84519,6,0.6898241639,0.028922841,0.0896511972,0.1916018128,88.1425933838
1536980614.39584,7,0.7016431093,0.0171038732,0.1132891327,0.1679638773,86.9607009888
1536982845.18566,8,0.7093302608,0.0094167385,0.1386566758,0.1425963342,85.1926574707
1536984964.75408,9,0.6842510104,0.0344960131,0.0858076289,0.1954453737,87.9696350098
1536987187.95199,10,0.7023157477,0.0164312478,0.102815412,0.1784375906,88.0753326416
1536989430.05054,11,0.6885749698,0.0301719997,0.0897472873,0.1915057153,88.0080718994
1536991628.72551,12,0.6962621212,0.022484865,0.1002210081,0.181032002,87.7294158936
1536993739.06845,13,0.708465457,0.0102815414,0.1328913271,0.1483616829,85.6827163696
1536995868.66582,14,0.7052944899,0.0134524843,0.1223215163,0.1589314938,86.4225997925
1536997981.8548,15,0.7101950645,0.0085519366,0.1605650038,0.1206879988,83.0883026123
1537000091.40582,16,0.713558197,0.0051888153,0.1477851421,0.1334678531,84.7026062012
1537002282.0717,17,0.6967425942,0.0220044199,0.1006053612,0.1806476414,87.7390213013
1537004562.80817,18,0.6966465116,0.0221005101,0.0949361026,0.1863169074,88.2963409424
1537006786.57791,19,0.7023157477,0.0164312478,0.1323147863,0.1489382088,85.1253967285
1537009040.5587,20,0.7025079131,0.0162390694,0.110118188,0.1711348146,87.3642730713
1537011292.66116,21,0.6934755445,0.0252714511,0.0999327376,0.1813202649,87.4795837402
1537013547.02035,22,0.6937637925,0.0249831844,0.0928221419,0.1884308606,88.2194671631
1537015812.50829,23,0.7145190835,0.0042279237,0.167771697,0.113481313,82.8000411987
1537018097.02714,24,0.7033727169,0.0153742675,0.1120399758,0.1692130268,87.2585754395
1537020396.67932,25,0.6899202466,0.0288267508,0.0917651579,0.1894878447,87.9408111572
1537022738.52348,26,0.6953012347,0.0234457571,0.111463435,0.1697895676,86.5090789795
